,command,type,SequenceNumber,preamble,TimeofDay,AmbientTemperature,RelativeHumidity,BarometricPressure,WindSpeed,WindDirection,NumberofLoopsTemps,TimelineName1,Temperature1,TimelineName2,Temperature2,TimelineName3,Temperature3,TimelineName4,Temperature4,HeatIndex,DewPoint
81,$WÂ,NÂ,47Â,R.IÂ,1DC64D88Â,4EÂ,3EÂ,B63Â,4Â,0Â,4Â,T1TÂ,F8CÂ,T2TÂ,EECÂ,T3Â,1040Â,T4TÂ,1036Â,4EÂ,40
82,$WÂ,NÂ,48Â,R.IÂ,1DCF63E6Â,4EÂ,3EÂ,B63Â,5Â,0Â,4Â,T1TÂ,F8CÂ,T2TÂ,EF6Â,T3Â,104AÂ,T4TÂ,104AÂ,4EÂ,40
83,$WÂ,NÂ,49Â,R.IÂ,1DD88C0AÂ,4EÂ,3EÂ,B63Â,3Â,0Â,4Â,T1TÂ,F96Â,T2TÂ,F00Â,T3Â,1054Â,T4TÂ,105EÂ,4EÂ,40
84,$WÂ,NÂ,4AÂ,R.IÂ,1DE1B334Â,4EÂ,3EÂ,B63Â,4Â,0Â,4Â,T1TÂ,F96Â,T2TÂ,F0AÂ,T3Â,104AÂ,T4TÂ,105EÂ,4EÂ,40
85,$WÂ,NÂ,4BÂ,R.IÂ,1DEADB80Â,4EÂ,3EÂ,B63Â,2Â,F0Â,4Â,T1TÂ,F96Â,T2TÂ,F0AÂ,T3Â,104AÂ,T4TÂ,1054Â,4EÂ,40
86,$WÂ,NÂ,4CÂ,R.IÂ,1DF4352CÂ,4EÂ,3EÂ,B63Â,4Â,0Â,4Â,T1TÂ,F96Â,T2TÂ,F0AÂ,T3Â,104AÂ,T4TÂ,1054Â,4EÂ,41
87,$WÂ,NÂ,4DÂ,R.IÂ,1DFD33A2Â,4FÂ,3EÂ,B63Â,5Â,0Â,4Â,T1TÂ,F96Â,T2TÂ,F0AÂ,T3Â,1054Â,T4TÂ,1054Â,4FÂ,41
88,$WÂ,NÂ,4EÂ,R.IÂ,1E067156Â,4FÂ,3DÂ,B63Â,6Â,0Â,4Â,T1TÂ,F96Â,T2TÂ,F14Â,T3Â,1054Â,T4TÂ,1054Â,4FÂ,40
89,$WÂ,NÂ,4FÂ,R.IÂ,1E0F7828Â,4FÂ,3DÂ,B63Â,5Â,0Â,4Â,T1TÂ,FA0Â,T2TÂ,F14Â,T3Â,1054Â,T4TÂ,104AÂ,4FÂ,40
90,$WÂ,NÂ,50Â,R.IÂ,1E18A0E2Â,4FÂ,3CÂ,B63Â,4Â,0Â,4Â,T1TÂ,FA0Â,T2TÂ,F1EÂ,T3Â,1068Â,T4TÂ,104AÂ,4FÂ,40
91,$WÂ,NÂ,51Â,R.IÂ,1E21C85CÂ,4FÂ,3DÂ,B63Â,6Â,0Â,4Â,T1TÂ,FA0Â,T2TÂ,F1EÂ,T3Â,105EÂ,T4TÂ,104AÂ,4FÂ,40
92,$WÂ,NÂ,52Â,R.IÂ,1E2AEFC2Â,4FÂ,3CÂ,B63Â,7Â,0Â,4Â,T1TÂ,FAAÂ,T2TÂ,F28Â,T3Â,1068Â,T4TÂ,1040Â,4FÂ,40
93,$WÂ,NÂ,53Â,R.IÂ,1E3417FAÂ,4FÂ,3CÂ,B63Â,8Â,F0Â,4Â,T1TÂ,FAAÂ,T2TÂ,F28Â,T3Â,1072Â,T4TÂ,1040Â,4FÂ,40
94,$WÂ,NÂ,54Â,R.IÂ,1E3D8DB2Â,4FÂ,3CÂ,B63Â,7Â,0Â,4Â,T1TÂ,FA0Â,T2TÂ,F1EÂ,T3Â,1072Â,T4TÂ,1040Â,4FÂ,40
95,$WÂ,NÂ,55Â,R.IÂ,1E46678EÂ,4FÂ,3CÂ,B63Â,8Â,0Â,4Â,T1TÂ,FA0Â,T2TÂ,F14Â,T3Â,1072Â,T4TÂ,1036Â,4FÂ,40
96,$WÂ,NÂ,56Â,R.IÂ,1E4F8F3AÂ,4FÂ,3CÂ,B63Â,9Â,0Â,4Â,T1TÂ,F8CÂ,T2TÂ,F0AÂ,T3Â,1072Â,T4TÂ,1022Â,4FÂ,40
97,$WÂ,NÂ,57Â,R.IÂ,1E58B722Â,4FÂ,3CÂ,B63Â,6Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,EF6Â,T3Â,1068Â,T4TÂ,1022Â,4FÂ,40
98,$WÂ,NÂ,58Â,R.IÂ,1E61DF6EÂ,4FÂ,3CÂ,B63Â,6Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,EECÂ,T3Â,1068Â,T4TÂ,1018Â,4FÂ,40
99,$WÂ,NÂ,59Â,R.IÂ,1E6B0616Â,4EÂ,3DÂ,B63Â,6Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,EE2Â,T3Â,1068Â,T4TÂ,1004Â,4EÂ,40
100,$WÂ,NÂ,5AÂ,R.IÂ,1E74564EÂ,4EÂ,3DÂ,B63Â,4Â,0Â,4Â,T1TÂ,F64Â,T2TÂ,ED8Â,T3Â,105EÂ,T4TÂ,FFAÂ,4EÂ,40
101,$WÂ,NÂ,5BÂ,R.IÂ,1E7D686AÂ,4EÂ,3DÂ,B63Â,5Â,0Â,4Â,T1TÂ,F64Â,T2TÂ,ECEÂ,T3Â,1054Â,T4TÂ,FF0Â,4EÂ,40
102,$WÂ,NÂ,5CÂ,R.IÂ,1E867D92Â,4EÂ,3DÂ,B63Â,6Â,0Â,4Â,T1TÂ,F5AÂ,T2TÂ,EC4Â,T3Â,1054Â,T4TÂ,FE6Â,4EÂ,40
103,$WÂ,NÂ,5DÂ,R.IÂ,1E8FC7D0Â,4EÂ,3EÂ,B63Â,3Â,0Â,4Â,T1TÂ,F50Â,T2TÂ,EC4Â,T3Â,1036Â,T4TÂ,FDCÂ,4EÂ,40
104,$WÂ,NÂ,5EÂ,R.IÂ,1E98D384Â,4EÂ,3DÂ,B63Â,4Â,F0Â,4Â,T1TÂ,F46Â,T2TÂ,EBAÂ,T3Â,102CÂ,T4TÂ,FD2Â,4EÂ,40
105,$WÂ,NÂ,5FÂ,R.IÂ,1EA1FF36Â,4EÂ,3EÂ,B63Â,5Â,0Â,4Â,T1TÂ,F3CÂ,T2TÂ,EB0Â,T3Â,1022Â,T4TÂ,FC8Â,4EÂ,40
106,$WÂ,NÂ,60Â,R.IÂ,1EAB2E30Â,4EÂ,3DÂ,B63Â,5Â,F0Â,4Â,T1TÂ,F3CÂ,T2TÂ,EA6Â,T3Â,1022Â,T4TÂ,FBEÂ,4EÂ,40
107,$WÂ,NÂ,61Â,R.IÂ,1EB498BCÂ,4EÂ,3DÂ,B63Â,4Â,10Â,4Â,T1TÂ,F32Â,T2TÂ,EA6Â,T3Â,1018Â,T4TÂ,FBEÂ,4EÂ,40
108,$WÂ,NÂ,62Â,R.IÂ,1EBD7A2CÂ,4EÂ,3DÂ,B62Â,3Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,E9CÂ,T3Â,1018Â,T4TÂ,FAAÂ,4EÂ,40
109,$WÂ,NÂ,63Â,R.IÂ,1EC694AEÂ,4EÂ,3DÂ,B62Â,4Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,E9CÂ,T3Â,100EÂ,T4TÂ,FA0Â,4EÂ,40
110,$WÂ,NÂ,64Â,R.IÂ,1ECFBC1EÂ,4FÂ,3DÂ,B62Â,5Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,E9CÂ,T3Â,100EÂ,T4TÂ,FA0Â,4FÂ,40
111,$WÂ,NÂ,65Â,R.IÂ,1ED8FDD8Â,4FÂ,3CÂ,B62Â,3Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,E9CÂ,T3Â,1004Â,T4TÂ,F96Â,4FÂ,40
112,$WÂ,NÂ,66Â,R.IÂ,1EE20A9AÂ,4FÂ,3DÂ,B62Â,3Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,E9CÂ,T3Â,100EÂ,T4TÂ,F96Â,4FÂ,40
113,$WÂ,NÂ,67Â,R.IÂ,1EEB4BF0Â,4FÂ,3CÂ,B62Â,5Â,0Â,4Â,T1TÂ,F3CÂ,T2TÂ,E9CÂ,T3Â,1004Â,T4TÂ,F8CÂ,4FÂ,40
114,$WÂ,NÂ,68Â,R.IÂ,1EF466A4Â,4FÂ,3CÂ,B62Â,3Â,0Â,4Â,T1TÂ,F3CÂ,T2TÂ,E9CÂ,T3Â,1004Â,T4TÂ,F8CÂ,4FÂ,40
115,$WÂ,NÂ,69Â,R.IÂ,1EFD91B6Â,4FÂ,3DÂ,B62Â,3Â,0Â,4Â,T1TÂ,F3CÂ,T2TÂ,E9CÂ,T3Â,1004Â,T4TÂ,F8CÂ,4FÂ,40
116,$WÂ,NÂ,6AÂ,R.IÂ,1F06A918Â,4FÂ,3DÂ,B62Â,4Â,10Â,4Â,T1TÂ,F32Â,T2TÂ,E9CÂ,T3Â,100EÂ,T4TÂ,F82Â,4FÂ,40
117,$WÂ,NÂ,6BÂ,R.IÂ,1F0FCFFCÂ,4FÂ,3CÂ,B62Â,3Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,EA6Â,T3Â,1018Â,T4TÂ,F82Â,4FÂ,40
118,$WÂ,NÂ,6CÂ,R.IÂ,1F18F802Â,4FÂ,3CÂ,B62Â,2Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,EA6Â,T3Â,1018Â,T4TÂ,F78Â,4FÂ,40
119,$WÂ,NÂ,6DÂ,R.IÂ,1F221F7CÂ,4FÂ,3CÂ,B62Â,3Â,0Â,4Â,T1TÂ,F32Â,T2TÂ,E9CÂ,T3Â,100EÂ,T4TÂ,F6EÂ,4FÂ,40
120,$WÂ,NÂ,6EÂ,R.IÂ,1F2B87D8Â,4FÂ,3CÂ,B62Â,3Â,0Â,4Â,T1TÂ,F28Â,T2TÂ,E92Â,T3Â,100EÂ,T4TÂ,F6EÂ,4FÂ,40
121,$WÂ,NÂ,6FÂ,R.IÂ,1F347802Â,4FÂ,3CÂ,B62Â,4Â,0Â,4Â,T1TÂ,F28Â,T2TÂ,E7EÂ,T3Â,100EÂ,T4TÂ,F64Â,4FÂ,40
122,$WÂ,NÂ,70Â,R.IÂ,1F3DA364Â,4FÂ,3DÂ,B62Â,2Â,0Â,4Â,T1TÂ,F14Â,T2TÂ,E7EÂ,T3Â,1004Â,T4TÂ,F5AÂ,4FÂ,40
123,$WÂ,NÂ,71Â,R.IÂ,1F46BFF8Â,4FÂ,3DÂ,B62Â,3Â,0Â,4Â,T1TÂ,F0AÂ,T2TÂ,E6AÂ,T3Â,1004Â,T4TÂ,F50Â,4FÂ,40
124,$WÂ,NÂ,72Â,R.IÂ,1F4FEA42Â,4FÂ,3DÂ,B62Â,4Â,0Â,4Â,T1TÂ,F00Â,T2TÂ,E60Â,T3Â,1004Â,T4TÂ,F50Â,4FÂ,40
125,$WÂ,NÂ,73Â,R.IÂ,1F591004Â,4FÂ,3DÂ,B62Â,4Â,F0Â,4Â,T1TÂ,F00Â,T2TÂ,E60Â,T3Â,FF0Â,T4TÂ,F50Â,4FÂ,40
126,$WÂ,NÂ,74Â,R.IÂ,1F62381EÂ,4FÂ,3CÂ,B62Â,4Â,0Â,4Â,T1TÂ,F00Â,T2TÂ,E60Â,T3Â,FE6Â,T4TÂ,F5AÂ,4FÂ,40
